unit,tech,ave_marg_damages_isrm_LePeule,longitude,latitude,fuel,status,node,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing NG-CC 980,NG-CC,6.740131596,-84.8666,39.0908,Gas,Existing,9,PJM_West,12236.11668659673,1837606.6310699538,10189754.692823429,SO X5
Existing NG-CC 981,NG-CC,6.729722522,-84.8666,39.0908,Gas,Existing,9,PJM_West,12245.3333332,1813976.6666659992,10043189.517161809,SO X5
Existing NG-CC 982,NG-CC,6.39997462,-84.8666,39.0908,Gas,Existing,9,PJM_West,12236.11668659673,1837606.6310699538,9675504.178108016,SO X5
Existing NG-CC 983,NG-CC,8.676986998,-84.8666,39.0908,Gas,Existing,9,PJM_West,12236.11668659673,1837606.6310699538,13117899.513254307,SO X5
Existing NG-CC 984,NG-CC,1.418876091,-81.71694,39.53333,Gas,Existing,9,PJM_West,13633.68082255658,2062328.404112782,2407382.4913576646,SO X5
Existing NG-CC 985,NG-CC,1.390103444,-81.71694,39.53305,Gas,Existing,9,PJM_West,13633.68082255658,2062328.404112782,2358564.4394804235,SO X5
Existing NG-CC 986,NG-CC,1.447889442,-81.71694,39.5325,Gas,Existing,9,PJM_West,13633.68082255658,2062328.404112782,2456608.9415431684,SO X5
Existing NG-CC 987,NG-CC,1.418956326,-81.71694,39.53296,Gas,Existing,9,PJM_West,62190.40070883519,9726273.581490312,10001799.817533148,SO X5
Existing NG-CC 988,NG-CC,3.192184906,-79.9181,39.8589,Gas,Existing,1,PJM_AP,18002.65706294795,2637518.107588791,6926698.64292892,SO X5
Existing NG-CC 989,NG-CC,3.505501953,-79.9182,39.8592,Gas,Existing,1,PJM_AP,18002.65706294795,2637518.107588791,7606563.007985659,SO X5
Existing NG-CC 990,NG-CC,3.348843429,-79.91815,39.85905,Gas,Existing,1,PJM_AP,114448.731366202,19476950.322459005,41592890.48711205,SO X5
Existing NG-CC 991,NG-CC,31.46051817,-76.30826,39.73872,Gas,Existing,5,PJM_EMAC,28882.010275473287,4136868.3845313643,93883846.23878522,SO X5
Existing NG-CC 992,NG-CC,26.96637334,-76.30826,39.73872,Gas,Existing,5,PJM_EMAC,29660.967483599994,4364846.209470218,85776888.33123246,SO X5
Existing NG-CC 993,NG-CC,31.14855732,-76.30826,39.73872,Gas,Existing,5,PJM_EMAC,29660.967483599994,4364846.209470218,99079927.77632563,SO X5
Existing NG-CC 994,NG-CC,29.85848294,-76.30826,39.73872,Gas,Existing,5,PJM_EMAC,84534.3878404384,13116725.770066202,242564511.38295907,SO X5
Existing NG-CT 1,NG-CT,30.42484127,-84.1025,37.8824,Gas,Existing,9,PJM_West,103.99999999997452,22359.99999999452,559684.0417702774,SO X5
Existing NG-CT 1010,NG-CT,7.530104892,-77.68334,39.86666,Gas,Existing,1,PJM_AP,2.2026824808563106e-13,2.6680879727791746e-11,1.6528900856010258e-10,SO X5
Existing NG-CT 1011,NG-CT,7.842758213,-77.68334,39.86666,Gas,Existing,1,PJM_AP,4.973799150320702e-14,3.943512183468553e-12,2.5444552477589935e-11,SO X5
Existing NG-CT 1089,NG-CT,24.75900568,-76.06848,41.20334,Gas,Existing,8,PJM_WMAC,1.3500311979441904e-13,2.376765451117534e-11,4.841303720507138e-10,SO X5
Existing NG-CT 128,NG-CT,51.25459134,-74.875878,40.071433,Gas,Existing,5,PJM_EMAC,1.776356839400251e-13,4.7144510517682667e-11,1.987955734911405e-09,SO X5
Existing NG-CT 129,NG-CT,47.41675781,-74.875878,40.071433,Gas,Existing,5,PJM_EMAC,4.2632564145606016e-13,8.704148513061226e-11,3.395478237862584e-09,SO X5
Existing NG-CT 130,NG-CT,50.56726238,-74.875878,40.071433,Gas,Existing,5,PJM_EMAC,2.8421709430404014e-14,8.952838470577266e-12,3.72454302055163e-10,SO X5
Existing NG-CT 131,NG-CT,46.98498697,-74.875878,40.071433,Gas,Existing,5,PJM_EMAC,7.815970093361102e-14,6.359357485052892e-12,2.4581883357060653e-10,SO X5
Existing NG-CT 132,NG-CT,155.5982319,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,4.973799150320701e-14,2.700062395888376e-12,3.4563782359811734e-10,SO X5
Existing NG-CT 133,NG-CT,149.2180591,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,1.7053025658242404e-13,5.371703082346358e-11,6.594413710412521e-09,SO X5
Existing NG-CT 134,NG-CT,166.6080493,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,1.776356839400251e-13,7.57793827688147e-11,1.0386993189274219e-08,SO X5
Existing NG-CT 136,NG-CT,87.1882248,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,281.40000000000015,60501.00000000001,2087486.646265561,SO X5
Existing NG-CT 137,NG-CT,85.9958989,-74.097155,40.73799,Gas,Existing,5,PJM_EMAC,281.4000000000003,60501.000000000095,2058939.6217108618,SO X5
