node,zone,unit,status,tech,latitude,longitude,fuel,ave_marg_damages_isrm_LePeule,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
8,PJM_WMAC,Existing NG-CC 1013,Existing,NG-CC,40.8022,-75.1072,Gas,10.01388295,18177.963969559594,2662159.6786437277,21932059.515241403,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1014,Existing,NG-CC,40.8022,-75.1072,Gas,9.985430136,65927.88125620288,9873388.260566952,64205752.07494527,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1020,Existing,NG-CC,40.61842,-75.313775,Gas,9.493148215,12827.0,1921510.000254,15007063.29483366,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1022,Existing,NG-CC,40.61842,-75.313775,Gas,9.493148215,60774.30289394519,9149028.135776475,56478438.4354999,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1050,Existing,NG-CC,39.86916,-77.16722,Gas,10.20320074,14535.0,2108340.000416925,17697824.46813874,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1051,Existing,NG-CC,39.8729,-77.1668,Gas,9.051536797,15606.0,2337840.000355725,17409243.91686043,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1052,Existing,NG-CC,39.8729,-77.1668,Gas,10.33820225,14179.001610952097,2031396.7131241597,17277566.503884938,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1053,Existing,NG-CC,39.87165333,-77.16694,Gas,9.864313262,92015.14009725819,13827584.67202751,88576634.4729842,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 346,Existing,NG-CC,41.201997,-76.070093,Gas,11.42180143,8693.553441084374,1198253.0164542624,9939146.120968664,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 347,Existing,NG-CC,41.201997,-76.070093,Gas,10.61978306,9408.999999999993,1374005.000156411,10616717.874714214,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 808,Existing,NG-CC,40.42083,-75.9375,Gas,11.75631665,15360.806990592053,2019646.4826074596,19533921.418003414,MO OPOI X5
