Scenario,Zone Number,Zone,Technology,Epoch,Capacity (MW)
MO EM190,2,NH,NG-CC-CCS,2,0.0
MO EM190,2,NH,NG-CC-CCS,3,0.0
MO EM190,2,NH,NG-CC-CCS,4,0.0
MO EM190,2,NH,NG-CT,1,0.0
MO EM190,2,NH,NG-CT,2,0.0
MO EM190,2,NH,NG-CT,3,0.0
MO EM190,2,NH,NG-CT,4,0.0
MO EM190,2,NH,Solar PV,1,0.0
MO EM190,2,NH,Solar PV,2,0.0
MO EM190,2,NH,Solar PV,3,0.0
MO EM190,2,NH,Solar PV,4,0.0
MO EM190,2,NH,Wind,1,1174.9036891638589
MO EM190,2,NH,Wind,2,769.9299167240165
MO EM190,2,NH,Wind,3,0.0
MO EM190,2,NH,Wind,4,0.0
MO EM190,3,VT,Battery,1,0.0
MO EM190,3,VT,Battery,2,0.0
MO EM190,3,VT,Battery,3,0.0
MO EM190,3,VT,Battery,4,0.0
MO EM190,3,VT,NG-CC-CCS,1,0.0
MO EM190,3,VT,NG-CC-CCS,2,0.0
MO EM190,3,VT,NG-CC-CCS,3,0.0
MO EM190,3,VT,NG-CC-CCS,4,0.0
MO EM190,3,VT,NG-CT,1,0.0
MO EM190,3,VT,NG-CT,2,0.0
MO EM190,3,VT,NG-CT,3,0.0
MO EM190,3,VT,NG-CT,4,0.0
MO EM190,3,VT,Solar PV,1,0.0
MO EM190,3,VT,Solar PV,2,0.0
MO EM190,3,VT,Solar PV,3,0.0
MO EM190,3,VT,Solar PV,4,0.0
MO EM190,3,VT,Wind,1,0.0
MO EM190,3,VT,Wind,2,1669.4152795251653
MO EM190,3,VT,Wind,3,3606.110807790016
MO EM190,3,VT,Wind,4,0.0
MO EM190,4,WCMA,Battery,1,209.37586788239568
MO EM190,4,WCMA,Battery,2,0.0
MO EM190,4,WCMA,Battery,3,0.0
MO EM190,4,WCMA,Battery,4,0.0
MO EM190,4,WCMA,NG-CC-CCS,1,0.0
MO EM190,4,WCMA,NG-CC-CCS,2,0.0
MO EM190,4,WCMA,NG-CC-CCS,3,0.0
MO EM190,4,WCMA,NG-CC-CCS,4,0.0
MO EM190,4,WCMA,NG-CT,1,0.0
MO EM190,4,WCMA,NG-CT,2,0.0
MO EM190,4,WCMA,NG-CT,3,0.0
MO EM190,4,WCMA,NG-CT,4,0.0
MO EM190,4,WCMA,Solar PV,1,0.0
MO EM190,4,WCMA,Solar PV,2,0.0
MO EM190,4,WCMA,Solar PV,3,0.0
MO EM190,4,WCMA,Solar PV,4,0.0
MO EM190,4,WCMA,Wind,1,9810.53031565859
MO EM190,4,WCMA,Wind,2,0.0
MO EM190,4,WCMA,Wind,3,0.0
MO EM190,4,WCMA,Wind,4,0.0
MO EM190,5,NEMA,Battery,1,817.9757800031791
MO EM190,5,NEMA,Battery,2,291.2764724531969
MO EM190,5,NEMA,Battery,3,456.556090338207
MO EM190,5,NEMA,Battery,4,0.0
MO EM190,5,NEMA,NG-CC-CCS,1,0.0
MO EM190,5,NEMA,NG-CC-CCS,2,0.0
MO EM190,5,NEMA,NG-CC-CCS,3,0.0
MO EM190,5,NEMA,NG-CC-CCS,4,0.0
MO EM190,5,NEMA,NG-CT,1,0.0
MO EM190,5,NEMA,NG-CT,2,0.0
MO EM190,5,NEMA,NG-CT,3,0.0
MO EM190,5,NEMA,NG-CT,4,0.0
MO EM190,5,NEMA,Solar PV,1,0.0
MO EM190,5,NEMA,Solar PV,2,0.0
MO EM190,5,NEMA,Solar PV,3,0.0
MO EM190,5,NEMA,Solar PV,4,0.0
MO EM190,5,NEMA,Wind,1,18648.420810792235
MO EM190,5,NEMA,Wind,2,0.0
MO EM190,5,NEMA,Wind,3,0.0
MO EM190,5,NEMA,Wind,4,0.0
MO EM190,6,CT,Battery,1,856.4589541397121
MO EM190,6,CT,Battery,2,0.0
