EIA_Utility_ID,EIA_Plant_Code,EIA_State,EIA_Type,EIA_Utility_Name,EIA_Plant_Name,EIA_Nameplate_Capacity_(MW)_sum,EIA_Zip,EIA_County,geometry,ave_marg_damages_isrm_Krewski,ave_marg_damages_isrm_LePeule,annual_grossLoad_MWh_2016,VOC_shortton_2016,NOx_shortton_2016,NH3_shortton_2016,SOx_shortton_2016,PM2_5_shortton_2016,unique_match
14928,54236,CT,Gas_GT,Pfizer Inc,Pfizer Groton Plant,10.0,6340,NEW LONDON,POINT (-72.0786 41.3315),,,,,,,,,True
14928,54236,CT,Gas_Steam,Pfizer Inc,Pfizer Groton Plant,27.5,6340,NEW LONDON,POINT (-72.0786 41.3315),,,,,,,,,True
27770,54324,RI,Gas_CCGT,Ocean State Power II,Ocean State Power II,254.2,2830,PROVIDENCE,POINT (-71.6701 42.0099),,,,,,,,,True
4823,54409,NH,Oil,Dartmouth College,Dartmouth College Heating Plant,7.0,3755,GRAFTON,POINT (-72.286735 43.701916),,,,,,,,,True
4566,54515,NH,Oil,Crotched Mt Rehab Ctr Inc,Crotched Mountain Rehabilitation Center,2.1,3047,HILLSBOROUGH,POINT (-71.87268 42.971653),,,,,,,,,True
56171,54586,MA,Gas_CCGT,Bicent Power,Tanner Street Generation,85.0,1852,MIDDLESEX,POINT (-71.313235 42.632124),6.728791274712421,15.131087560905144,95335.02,0.18730000000000002,9.841999999999999,0.606,0.257,2.344812,True
21621,54605,CT,Gas_GT,United Technologies,Pratt & Whitney,25.8,6108,HARTFORD,POINT (-72.636693 41.748327),24.058414489743882,54.10059135267511,2962.8,0.029749590000000003,0.5106,0.2356283,0.01712275,0.1590754,True
59190,54803,NH,Oil,Plymouth State University,Plymouth State College Cogeneration,2.8,3264,GRAFTON,POINT (-71.6881 43.7644),,,,,,,,,True
12469,54805,MA,Gas_CCGT,Milford Power Ltd Partnership,Milford Power LP,178.0,1757,WORCESTER,POINT (-71.511496 42.129361),18.871480956906453,42.437540993094444,68806.52,0.945,55.1,3.3405,1.1000000000000003,3.12421,True
11820,54907,MA,Gas_GT,Massachusetts Inst of Tech,Mass Inst Tech Cntrl Utilities/Cogen Plt,21.2,2139,MIDDLESEX,POINT (-71.093876 42.360986),,,,,,,,,True
20347,54937,MA,Gas_IC,Wellesley College,Wellesley College Central Utility Plant,7.1,2481,NORFOLK,POINT (-71.308111 42.293927),,,,,,,,,True
20347,54937,MA,Oil,Wellesley College,Wellesley College Central Utility Plant,2.9,2481,NORFOLK,POINT (-71.308111 42.293927),,,,,,,,,True
55773,55026,MA,Gas_CCGT,"Dighton Power, LLC",Dighton Power Plant,200.0,2715,BRISTOL,POINT (-71.1239 41.8312),3.2180671475362033,7.236745315603912,604812.15,13.787400000000002,45.1,8.5373,2.1,12.16,True
55738,55031,ME,Gas_GT,Verso Paper Androscoggin LLC,Androscoggin Energy Center,163.5,4239,FRANKLIN,POINT (-70.242312 44.506315),1.3213960988796316,2.9717393338214606,175322.21999999994,16.86096,15.87,6.35,0.7000000000000001,3.208649048,True
1616,55041,MA,Gas_CCGT,Berkshire Power Co LLC,Berkshire Power,289.0,1001,HAMPDEN,POINT (-72.6478 42.0476),2.7109779976308346,6.095807815901935,844783.9800000001,6.27392,49.889,19.594415,1.854,0.5872145,True
2232,55042,CT,Gas_CCGT,Bridgeport Energy LLC,Bridgeport Energy Project,520.0,6604,FAIRFIELD,POINT (-73.1844 41.1692),0.7122632791288197,1.6015648655593395,3553011.9900000007,9.74394,209.9,2.64179,7.14206,2.1385449999999997,True
55510,55048,RI,Gas_CCGT,Tiverton Power LLC,Tiverton Power Plant,272.5,2878,NEWPORT,POINT (-71.1706 41.6422),1.0238332427106798,2.302376532461494,1163525.73,1.22,53.63,4.23,1.62,16.2,True
4966,55068,ME,Gas_CCGT,Casco Bay Energy Co LLC,Maine Independence Station,550.2,4401,PENOBSCOT,POINT (-68.7094 44.8242),1.9984337047790177,4.494254041812383,340225.56,4.38563,42.309999999999995,2.63,1.3,7.074814,True
12713,55079,MA,Gas_CCGT,Millennium Power Partners LP,Millennium Power,360.0,1507,WORCESTER,POINT (-72.015113 42.112291),2.964716332964599,6.666637679561973,1187375.65,12.813005,82.412,40.016975,3.787,1.199247,True
54821,55100,ME,Gas_CCGT,Rumford Power,"Rumford Power, Inc",274.5,4276,OXFORD,POINT (-70.5219 44.5303),0.28395259476383217,0.63834779325407,424407.9,1.0796,27.6,2.9,0.92,0.4301752,True
6832,55107,RI,Gas_CCGT,RISEC Opeating Services,Rhode Island State Energy Center,596.0,2919,PROVIDENCE,POINT (-71.5186 41.8017),3.4119389206171036,7.673656594008207,2344147.2599999993,16.165949999999995,58.7,2.75,4.8,37.7325,True
12568,55126,CT,Gas_CCGT,Milford Power Co LLC,Milford Power Project,578.0,6460,NEW HAVEN,POINT (-73.099728 41.224355),3.2541184797883034,7.323399905115366,3245707.4900000007,8.2,72.1,27.0,6.80772,28.356900000000003,True
10576,55149,CT,Gas_CCGT,Lake Road Generating Co LP,Lake Road Generating Plant,840.0,6241,WINDHAM,POINT (-71.895799 41.872043),3.526368536055088,7.932187609374523,3406381.08,15.100000000000001,115.9,89.89999999999999,10.85747,80.6358,True
88,55170,NH,Gas_CCGT,Granite Ridge Energy LLC,Granite Ridge,790.0,3053,ROCKINGHAM,POINT (-71.4261 42.9042),7.551949104294181,16.98610521107912,2248022.39,8.52982,104.26429999999999,96.8133,7.322100000000001,21.9162,True
641,55211,MA,Gas_CCGT,ANP Bellingham Energy Company LLC,ANP Bellingham Energy Project,578.0,2019,NORFOLK,POINT (-71.453468 42.110577),1.181028326973319,2.6558922044932842,1467386.57,12.6186,63.6,6.7976,4.5,3.0612399999999997,True
656,55212,MA,Gas_CCGT,ANP Blackstone Energy Company LLC,ANP Blackstone Energy Project,578.0,1504,WORCESTER,POINT (-71.515811 42.059876),1.9072083744686097,4.288803705014288,1019552.1599999999,11.639800000000001,61.3,8.888200000000001,4.6,2.82464,True
2891,55294,ME,Gas_CCGT,Westbrook Energy Center,Westbrook Energy Center Power Plant,563.9,4092,CUMBERLAND,POINT (-70.375 43.6575),0.3745806080987677,0.8421963599976152,2343729.3999999994,2.42,103.15,2.59,4.63,17.108,True
59368,55317,MA,Gas_CCGT,"Calpine Fore River Energy Center, LLC",Fore River Generating Station,872.2,2191,NORFOLK,POINT (-70.9661 42.2422),1.1590575501322746,2.6064229905605316,3914176.5100000002,18.7,102.3,11.6,8.52,37.128,True
56927,55517,CT,Gas_GT,Wallingford Energy LLC,Wallingford Energy,250.0,6492,NEW HAVEN,POINT (-72.835364 41.448694),6.166876396629959,13.869107733014971,213828.04,3.745574,9.850000000000001,4.39,0.608443,6.014536,True
13538,55661,NH,Gas_CCGT,Essential Power Newington LLC,Essential Power Newington LLC,605.5,3801,ROCKINGHAM,POINT (-70.8061 43.1047),0.3488682115566917,0.7841036421013996,1323708.5399999998,0.0,57.0347,3.7279999999999998,2.94785,6.926209999999999,True
56221,55999,MA,Gas_IC,New England Confectionery Co Inc,NECCO Co-Generation,5.8,2151,SUFFOLK,POINT (-71.0039 42.415),,,,,,,,,True
49840,56189,CT,Oil,"Waterside Power, LLC","Waterside Power, LLC",69.6,6904,FAIRFIELD,POINT (-73.5564 41.0372),,,,,,,,,True
4180,56256,CT,Oil,Connecticut Mun Elec Engy Coop,"John Street 1, 3, 4 & 5",5.4,6492,NEW HAVEN,POINT (-72.8364 41.4458),,,,,,,,,True
54895,56629,CT,Gas_GT,FirstLight Power Resources Services LLC,Waterbury Generation,96.0,6708,NEW HAVEN,POINT (-73.0417 41.5444),8.025896570412442,18.04798638599459,41990.57,0.8960447999999999,3.7938460000000003,0.66,0.15459,1.6602190000000001,True
55993,56798,CT,Gas_CCGT,"Kleen Energy Systems, LLC",Kleen Energy Systems Project,693.0,6457,MIDDLESEX,POINT (-72.596867 41.553227),0.9061675854027271,2.0379220405593514,4106282.28,5.44,98.8,9.5506225,8.501574999999999,39.668405,True
56143,56928,CT,Gas_GT,Fairfield University,Fairfield University CHP Plant,4.5,6824,FAIRFIELD,POINT (-73.2572 41.1589),,,,,,,,,True
56354,57068,CT,Oil,GenConn Middletown LLC,GenConn Middletown LLC,242.0,6457,MIDDLESEX,POINT (-72.576666 41.554444),,,,,,,,,True
56352,57070,CT,Oil,GenConn Devon LLC,GenConn Devon LLC,242.0,6460,NEW HAVEN,POINT (-73.1075 41.2108),,,,,,,,,True
56406,57103,MA,Gas_Steam,Newark America,Newark America Mill,6.3,1420,WORCESTER,POINT (-71.848805 42.561007),,,,,,,,,True
8153,57179,CT,Gas_GT,Hartford Steam Co,HSCo CHP,4.0,6010,HARTFORD,POINT (-72.6686 41.7614),,,,,,,,,True
4180,57598,CT,Oil,Connecticut Mun Elec Engy Coop,Bridge Street 1 & 2,5.2,6340,NEW LONDON,POINT (-72.0825 41.362778),,,,,,,,,True
4180,57599,CT,Oil,Connecticut Mun Elec Engy Coop,"Fort Hill 1, 2, 3 & 4",10.4,6382,NEW LONDON,POINT (-72.1022 41.4711),,,,,,,,,True
4180,57601,CT,Oil,Connecticut Mun Elec Engy Coop,Gary Court 1 & 2,5.2,6340,NEW LONDON,POINT (-72.02 41.3367),,,,,,,,,True
4180,57602,CT,Oil,Connecticut Mun Elec Engy Coop,Jewett City 1,2.6,6351,NEW LONDON,POINT (-71.9825 41.6041),,,,,,,,,True
4180,57603,CT,Oil,Connecticut Mun Elec Engy Coop,LNG 1 & 2,5.2,6360,NEW LONDON,POINT (-72.1175 41.5694),,,,,,,,,True
4180,57604,CT,Oil,Connecticut Mun Elec Engy Coop,Lebanon Pines 1 & 2,5.2,6249,NEW LONDON,POINT (-72.2322 41.5683),,,,,,,,,True
4180,57605,CT,Oil,Connecticut Mun Elec Engy Coop,Water Treatment 1 & 2,5.2,6340,NEW LONDON,POINT (-72.0411 41.3469),,,,,,,,,True
13831,57624,CT,Oil,City of Norwich - (CT),Norwich WWTP,2.0,6360,NEW LONDON,POINT (-72.0833 41.5256),,,,,,,,,True
56992,57666,CT,Gas_GT,Foxwoods Resort Casino,Foxwoods CoGen,13.2,6338,NEW LONDON,POINT (-71.9606 41.4731),,,,,,,,,True
57015,57689,CT,Oil,Third Taxing District of Norwalk,Norden 1-3,6.0,6855,FAIRFIELD,POINT (-73.3928 41.1117),,,,,,,,,True
