latitude,zone,longitude,fuel,node,ave_marg_damages_isrm_LePeule,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
39.86248,PJM_EMAC,-75.33577,Gas,5,18.04513825,Existing NG-CC 845,NG-CC,Existing,54803.90273119417,9287891.681639904,122138995.93851501,SO X5
39.86248,PJM_EMAC,-75.33577,Gas,5,18.15903418,Existing NG-CC 844,NG-CC,Existing,20973.55403858749,3527564.6830057646,52699990.354523085,SO X5
39.86666,PJM_AP,-77.68334,Gas,1,7.530104892,Existing NG-CT 1010,NG-CT,Existing,4.973799150320702e-14,5.719868991604927e-12,3.543479391840508e-11,SO X5
39.86666,PJM_AP,-77.68334,Gas,1,7.842758213,Existing NG-CT 1011,NG-CT,Existing,6.394884621840903e-14,1.2576606439829166e-11,8.114749179417125e-11,SO X5
39.86916,PJM_WMAC,-77.16722,Gas,8,10.20320074,Existing NG-CC 1050,NG-CC,Existing,20372.687841593386,3478024.57411628,29195228.661606144,SO X5
39.87165333,PJM_WMAC,-77.16694,Gas,8,9.864313262,Existing NG-CC 1053,NG-CC,Existing,115913.80870214017,19844425.419347398,127471986.73977873,SO X5
39.8729,PJM_WMAC,-77.1668,Gas,8,9.051536797,Existing NG-CC 1051,NG-CC,Existing,20372.687841593386,3478024.57411628,25899881.151153073,SO X5
39.8729,PJM_WMAC,-77.1668,Gas,8,10.33820225,Existing NG-CC 1052,NG-CC,Existing,20372.687841593386,3478024.57411628,29581519.204598255,SO X5
39.918222,PJM_EMAC,-75.118141,Gas,5,40.42742977,Existing NG-CC 633,NG-CC,Existing,8084.8,1383869.9998451502,46027165.41321751,SO X5
40.052939,PJM_West,-85.739139,Gas,9,32.72099857,Existing NG-CT 476,NG-CT,Existing,5.333333199999998,666.6666530666664,14061.497996993288,SO X5
40.062369,PJM_EMAC,-74.168576,Gas,5,18.56093291,Existing NG-CT 1041,NG-CT,Existing,1051.1739331101717,135466.74220249648,1822603.4596338058,SO X5
40.062369,PJM_EMAC,-74.168576,Gas,5,18.91508727,Existing NG-CT 1040,NG-CT,Existing,1051.1739331101717,135466.74220249648,1857379.8884324164,SO X5
