,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
t21,1629.33,1582.21,798.13,2278.32,3163.85,3949.67,1023.48,1914.53,0,0,0,0,0,0,0
t22,1522.45,1477.03,765.65,2154.06,2985.23,3710.62,965.85,1787.41,0,0,0,0,0,0,0
t23,1418.6,1366.69,724.52,2010.27,2783.79,3429.92,890.88,1641.46,0,0,0,0,0,0,0
t24,1376.76,1280.83,683.93,1880.01,2617.7,3174.43,832.59,1521.21,0,0,0,0,0,0,0
1,1344.97,1398.8,585,2014.83,3282.4,3572.12,1081.28,2017.57,0,0,0,0,0,0,0
2,1297.34,1317.51,557.06,1896.14,3051.24,3316.26,1017.93,1895.8,0,0,0,0,0,0,0
3,1236.43,1260.58,536.44,1811.97,2909.16,3125.6,968.38,1798.01,0,0,0,0,0,0,0
4,1229.03,1232.08,527.93,1762.38,2821.05,3008.11,936.49,1731.06,0,0,0,0,0,0,0
5,1236.5,1238.8,530.52,1762.06,2811.36,2989.32,927.03,1715.74,0,0,0,0,0,0,0
6,1293.96,1290.17,554.44,1812.57,2883.36,3094.39,949.72,1746.5,0,0,0,0,0,0,0
7,1399.15,1376.88,584.25,1934.5,3059.41,3306.59,1006.86,1843.28,0,0,0,0,0,0,0
8,1503.3,1498.24,578.39,2059.31,3289.89,3596.53,1106.23,1986.82,0,0,0,0,0,0,0
9,1546.36,1582.18,510.93,2115.67,3467.65,3823.57,1196.87,2103.15,0,0,0,0,0,0,0
10,1587,1645.16,440.03,2156.21,3597.08,4004.96,1285.51,2205.39,0,0,0,0,0,0,0
11,1612.42,1720.6,410.18,2210.29,3716.79,4231.84,1366.18,2318,0,0,0,0,0,0,0
12,1641.11,1786.86,407.21,2304.9,3836.77,4466.42,1433.02,2420.25,0,0,0,0,0,0,0
13,1667.96,1854.45,409,2400.77,3933.38,4699.38,1506.17,2571.74,0,0,0,0,0,0,0
