datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,SOUTH,185.917
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,WEST,2697.838
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,RTO,3192.237
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,RFC,3006.320
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,MIDATL,334.463
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,SOUTH,189.606
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,WEST,1726.271
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,RTO,2250.340
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,RFC,2060.734
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,MIDATL,401.284
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,SOUTH,219.695
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,WEST,1401.208
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,RTO,2022.187
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,RFC,1802.492
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,MIDATL,422.322
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,SOUTH,259.029
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,WEST,1307.124
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,RTO,1988.475
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,RFC,1729.446
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,MIDATL,399.050
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,SOUTH,138.521
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,WEST,1489.043
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,RTO,2026.614
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,RFC,1888.093
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,MIDATL,368.349
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,SOUTH,149.430
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,WEST,1389.671
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,RTO,1907.450
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,RFC,1758.020
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,MIDATL,355.192
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,SOUTH,106.805
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,WEST,1371.671
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,RTO,1833.668
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,RFC,1726.863
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,MIDATL,257.499
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,SOUTH,133.758
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,WEST,1328.783
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,RTO,1720.040
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,RFC,1586.282
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,MIDATL,232.439
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,SOUTH,205.934
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,WEST,1597.881
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,RTO,2036.254
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,RFC,1830.320
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,MIDATL,207.707
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,SOUTH,220.461
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,WEST,1800.046
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,RTO,2228.214
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,RFC,2007.753
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,MIDATL,211.390
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,SOUTH,153.626
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,WEST,1430.704
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,RTO,1795.720
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,RFC,1642.094
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,MIDATL,216.207
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,SOUTH,118.140
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,WEST,888.117
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,RTO,1222.464
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,RFC,1104.324
