,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW
322,6158.212828,7542.328249,9487.32893,13696.77835,16442.97515,2120.513813,7750.281719,7168.634521,24001.73114,0,0,0,0,0,0,0,0
322,6346.582663,7858.626772,9751.589839,13843.13137,16825.8837,2217.923838,7946.708959,7409.477338,24465.97735,0,0,0,0,0,0,0,0
322,6519.471965,8134.786741,9902.369504,13779.80301,16868.28095,2278.831829,8021.052677,7546.63054,23875.63981,0,0,0,0,0,0,0,0
322,6559.908678,8336.835379,10132.67673,13735.75947,16812.27762,2309.864649,8065.399682,7550.896081,24001.97486,0,0,0,0,0,0,0,0
322,6540.266195,8336.802932,10303.30423,13611.63961,16724.15882,2274.680556,8010.116228,7487.443394,23776.5077,0,0,0,0,0,0,0,0
322,6396.528746,8164.766694,10365.06338,13346.0947,16590.44049,2205.096004,7954.111676,7228.982726,22701.55771,0,0,0,0,0,0,0,0
322,6122.65535,7952.848428,10326.805,13010.17297,16427.84035,2108.892271,7823.290107,6937.321132,21775.72598,0,0,0,0,0,0,0,0
322,6008.119026,7744.916543,10160.51146,12746.42248,16366.77522,2081.867193,7787.463874,6775.685827,21590.90218,0,0,0,0,0,0,0,0
322,6047.919332,7619.853088,9938.825871,12816.06915,16620.05542,2056.551556,7853.702505,6748.497289,21387.59986,0,0,0,0,0,0,0,0
322,6111.126072,7659.39404,9856.014762,13184.64934,17223.73625,2100.249316,7953.236041,6912.944386,21608.21546,0,0,0,0,0,0,0,0
322,6283.257339,7892.977248,9866.700535,13728.80577,17887.03908,2157.759843,8186.688839,7172.402096,22334.90174,0,0,0,0,0,0,0,0
322,6374.885911,7945.807478,10250.76775,13902.0951,17975.71748,2178.987335,8171.463201,7238.907747,22169.49154,0,0,0,0,0,0,0,0
322,6406.593633,7948.147512,10576.84217,13998.89322,17994.73135,2199.658482,8165.983258,7288.635395,23877.81527,0,0,0,0,0,0,0,0
322,6382.770378,7953.188033,10515.40823,14012.76683,17965.33963,2181.062057,8198.226317,7279.947843,22313.13233,0,0,0,0,0,0,0,0
322,6293.733534,7837.930275,10392.73975,13939.47337,17823.53964,2157.314229,8165.571453,7224.788188,23278.57666,0,0,0,0,0,0,0,0
322,6148.205444,7649.429684,10291.57438,13685.42118,17376.42938,2101.813113,8010.058106,7054.022169,22228.10116,0,0,0,0,0,0,0,0
322,6004.733323,7379.390375,10143.10818,13419.4941,16851.90183,2034.254494,7761.406156,6868.294019,21973.12749,0,0,0,0,0,0,0,0
322,5869.350586,7142.327405,9856.277642,13181.37564,16346.20701,2004.252057,7536.232951,6752.705637,21525.73188,0,0,0,0,0,0,0,0
322,5807.153179,7023.22672,9511.676862,13114.62693,16050.36571,1951.861673,7417.151637,6679.43271,21326.39403,0,0,0,0,0,0,0,0
322,5789.50873,6906.677406,9251.705619,13089.5828,15890.4828,1942.749476,7337.386498,6673.234704,21278.99537,0,0,0,0,0,0,0,0
235,5164.683128,7884.607014,12821.80119,11211.97323,15270.7603,1890.638813,6803.423039,5682.688073,21860.89128,0,0,0,0,0,0,0,0
235,5340.155213,8204.635642,12642.89646,11578.16625,15836.97125,1987.715725,7105.618968,6000.666098,22645.85551,0,0,0,0,0,0,0,0
235,5584.523877,8860.20744,12683.87721,12238.03842,16690.48491,2133.84086,7561.37426,6497.596253,24485.23428,0,0,0,0,0,0,0,0
235,5772.527934,9256.059305,13164.69684,12693.79334,17730.31999,2215.222277,7955.031886,6833.527201,25486.40313,0,0,0,0,0,0,0,0
235,6025.888854,9712.838732,13870.87006,13294.54988,18973.96699,2306.470382,8445.780581,7177.197375,26702.19213,0,0,0,0,0,0,0,0
235,6339.699571,10298.99513,14689.35719,14171.66027,20408.13804,2369.095426,9018.236073,7544.740569,28446.06806,0,0,0,0,0,0,0,0
235,6679.133033,10949.01721,15685.38725,15113.51833,21761.22903,2448.189068,9536.688332,7948.777248,30393.02817,0,0,0,0,0,0,0,0
235,6973.496876,11507.76883,16453.23223,16014.76056,23108.15823,2514.117395,9994.379819,8232.037876,31900.11588,0,0,0,0,0,0,0,0
235,7278.216186,11949.98635,17189.01127,16750.06853,24402.40657,2590.919446,10397.77827,8474.615994,33321.67508,0,0,0,0,0,0,0,0
235,7495.443434,12278.61416,17642.16659,17468.15239,25491.85524,2645.031044,10753.96569,8749.43676,34229.24817,0,0,0,0,0,0,0,0
235,7596.510286,12185.56211,18132.21024,17877.51186,26296.01118,2654.92657,11042.70438,8884.918892,34633.22081,0,0,0,0,0,0,0,0
235,7663.511613,12212.70901,18649.54849,18087.64705,26858.4331,2664.301133,11274.7069,8967.036256,34849.22969,0,0,0,0,0,0,0,0
235,7704.836717,12294.24549,19134.54118,18213.61211,27365.20896,2676.744739,11459.16386,9119.206894,35117.89763,0,0,0,0,0,0,0,0
235,7700.70703,12257.74632,19336.53803,18189.16744,27614.28434,2678.916896,11518.96097,9167.590303,35101.29051,0,0,0,0,0,0,0,0
235,7692.276996,12384.91857,19320.24211,17938.44232,27263.39978,2702.795872,11328.08272,9092.95216,35150.45013,0,0,0,0,0,0,0,0
235,7529.754264,12241.9556,19317.24956,17641.25289,26734.37355,2680.728649,11079.39077,8920.020506,34474.58981,0,0,0,0,0,0,0,0
235,7438.645618,12026.6203,18957.76654,17360.47132,26214.47768,2685.261695,10832.94035,8830.09689,33895.62287,0,0,0,0,0,0,0,0
235,7105.418111,11595.09376,18534.92982,16328.48255,24730.46603,2568.200046,10297.06084,8396.629321,32325.44387,0,0,0,0,0,0,0,0
235,6650.541869,10795.68359,18184.36188,15188.62872,22879.19564,2425.217461,9589.291926,7791.286118,29975.68192,0,0,0,0,0,0,0,0
235,6163.062883,10032.79599,17273.76058,14098.092,21093.14554,2286.660888,8899.494812,7237.562554,27645.68041,0,0,0,0,0,0,0,0
235,5925.192169,9431.827605,16104.81259,13318.15608,19592.28988,2162.719524,8290.288607,6836.519705,25849.93216,0,0,0,0,0,0,0,0
235,5687.456232,8970.683865,14968.24134,12645.22146,18488.56487,2088.304367,7873.93,6536.061352,24439.01598,0,0,0,0,0,0,0,0
235,5531.613114,8627.651089,14059.61571,12209.9059,17730.66577,2043.081828,7578.79012,6320.083504,23383.41193,0,0,0,0,0,0,0,0
235,5364.348846,8408.584338,13394.93039,11950.16302,17262.41847,2018.983543,7395.951719,6222.880318,22775.69312,0,0,0,0,0,0,0,0
246,5302.275162,7323.738633,9341.792945,11965.64386,17077.36184,1948.229541,7266.207094,6138.927776,21360.25408,0,0,0,0,0,0,0,0
246,5444.554871,7575.888922,9286.386248,12289.31987,17628.60516,2010.471877,7573.926136,6426.889095,22145.3893,0,0,0,0,0,0,0,0
246,5751.626353,8134.122758,9437.68461,12986.51223,18654.37427,2117.238696,8127.803277,6939.993885,23860.20794,0,0,0,0,0,0,0,0
246,5947.396093,8465.992411,10009.02398,13397.83117,19508.94934,2212.742545,8395.036618,7178.786786,24828.1164,0,0,0,0,0,0,0,0
246,6059.864424,8721.096623,10894.94743,13934.52035,20297.47624,2281.787832,8710.514698,7350.142595,25265.43894,0,0,0,0,0,0,0,0
246,6268.915255,9011.554286,11553.80559,14632.14153,21166.89823,2324.330583,9144.045574,7588.426058,26175.09083,0,0,0,0,0,0,0,0
246,6437.137111,9330.333415,12021.77832,15445.08156,21842.19791,2379.451587,9511.962747,7724.557117,27272.10213,0,0,0,0,0,0,0,0
246,6667.271929,9596.286012,12249.84946,16277.46062,22373.606,2391.299778,9927.381618,7852.355984,28102.9274,0,0,0,0,0,0,0,0
246,6841.291461,9830.695894,12380.04335,16860.391,22857.04443,2446.168948,10278.27155,7959.501578,29061.24724,0,0,0,0,0,0,0,0
246,7029.579977,10030.64283,12412.4507,17397.16326,23220.82063,2469.64097,10596.38047,8049.733463,30165.55613,0,0,0,0,0,0,0,0
246,7165.477498,10016.60625,12382.53741,17649.34932,23353.29589,2451.521185,10705.59146,8094.295858,30449.89658,0,0,0,0,0,0,0,0
246,7236.273549,9932.11316,12344.91619,17743.32312,23226.78175,2397.657605,10775.64893,8129.063985,30377.21959,0,0,0,0,0,0,0,0
246,7237.380788,9864.613437,12177.68166,17743.63906,23072.54471,2396.632012,10828.86276,8089.192872,30218.82851,0,0,0,0,0,0,0,0
246,7148.766867,9699.534256,11978.78116,17376.45825,22737.33574,2339.914061,10621.58924,7934.281361,29685.10629,0,0,0,0,0,0,0,0
246,6969.310628,9433.601996,11858.29221,16875.03479,22179.0163,2315.754238,10058.60758,7769.234554,28794.92257,0,0,0,0,0,0,0,0
